user_id,tx_frequency,conversion_rate,tx_count
user_1,0.1429,0.8182,11
user_10,0.0,0.75,8
user_11,0.4286,1.0,8
user_12,0.2857,0.7692,13
user_13,0.0,1.0,7
user_14,0.2857,0.75,8
user_15,0.5714,1.0,9
user_16,0.1429,1.0,6
user_17,0.0,0.6,5
user_18,0.2857,1.0,11
user_19,0.4286,0.8333,6
user_2,0.5714,0.9091,11
user_20,0.1429,0.8889,9
user_21,0.1429,0.8,5
user_22,0.4286,0.7857,14
user_23,0.1429,0.875,8
user_24,0.4286,0.8889,9
user_25,0.0,0.7,10
user_26,0.4286,0.875,8
user_27,0.4286,0.9,10
user_28,0.0,0.75,8
user_29,0.0,1.0,9
user_3,0.4286,1.0,7
user_30,0.0,0.8571,7
user_31,0.1429,0.6667,6
user_32,0.0,1.0,3
user_33,0.4286,0.8462,13
user_34,0.0,1.0,7
user_35,0.2857,1.0,6
user_36,0.2857,1.0,6
user_37,0.2857,0.75,8
user_38,0.5714,0.8,10
user_39,0.4286,1.0,8
user_4,0.2857,0.9,10
user_40,0.4286,0.8333,12
user_41,0.2857,1.0,10
user_42,0.5714,0.8182,11
user_43,0.2857,0.7778,9
user_44,0.1429,0.5,10
user_45,0.1429,0.5,8
user_46,0.4286,1.0,8
user_47,0.1429,0.6667,6
user_48,0.2857,0.7692,13
user_49,0.1429,0.75,8
user_5,0.2857,0.875,8
user_50,0.5714,1.0,8
user_51,0.1429,0.9,10
user_52,0.1429,1.0,12
user_53,0.2857,0.8,5
user_54,0.4286,1.0,5
user_55,0.0,0.75,4
user_56,0.1429,0.8,10
user_57,0.2857,1.0,8
user_58,0.1429,0.8333,6
user_59,0.1429,0.6,5
user_6,0.2857,1.0,5
user_60,0.2857,0.875,8
user_61,0.2857,0.8182,11
user_62,0.0,0.9,10
user_63,0.2857,0.875,8
user_64,0.2857,0.875,8
user_65,0.4286,0.7143,7
user_66,0.1429,1.0,5
user_67,0.2857,0.8333,6
user_68,0.5714,0.7,10
user_69,0.2857,1.0,6
user_7,0.0,0.6667,3
user_70,0.1429,0.6667,6
user_71,0.1429,0.8,5
user_72,0.1429,0.6667,6
user_73,0.1429,0.7143,7
user_74,0.1429,1.0,5
user_75,0.2857,0.9,10
user_76,0.4286,0.6667,9
user_77,0.1429,0.5,6
user_78,0.1429,0.8333,6
user_79,0.2857,0.5714,7
user_8,0.1429,0.7273,11
user_80,0.1429,0.75,8
user_9,0.1429,1.0,13
